u_name,result
ALB,6
ARE,6
ARG_CE,21
ARM,437
AUS_SO,15
AUT,4393
BLR,657
BRA_CW,2
CHE,356
CHL_NC,19
CHN_NO,386
CND_ON,290
CYP,0
CZE,126
DEU,671
DZA,0
EGY,2
ESP_ML,33
EST,61712
FIN,80
FRA,4249
GBR_EN,83
GRC_ML,25
GRL,13
HUN,15
IDN_SU,0
IND_NO,22
IRL,0
IRQ,2
ISL,13
ITA,288
JOR,2
JPN,565
KAZ,7
KGZ,23
LBN,7
MAR,5
MEX_BA,0
MNG,0
MYS_WE,50
NAM,0
NLD,1161
NOR,173
NPL,2
NZL,38
PAK,3
PER,2
POL,271
PRT,3
QAT,3
ROU,2399
SRB,221129
SVN,1050
SWE,12255
THA_NO,2
TUR,42
UZB,56
ZAF,03
